,ENACW16,ENACW12,MW,LSW,NEADW
Salinity,0.06,0.06,0.07,0.01,0.07
Potential Temperature,0.6,0.6,0.2,0.4,0.5
Oxygen,8,8,6,50,8
Spiceness,1.368,0.621,0.51,0.034,0.006
